b,t,h,r1,r
80,5,19,4,2 
80,6,20,4,2 
100,7,22.5,4.5,2 
100,8,23.5,4.5,2 
120,6,23,5,2 
120,7,24,5,2 
120,8,25,5,2 
140,7,26,5.5,2 
140,8,27,5.5,2 
140,10,29,5.5,3 
160,7,29,6,2 
160,8,30,6,2 
160,9,31,6,2 
160,11,33,6,3 
180,8,33,7,2 
180,9,34,7,2 
180,10,35,7,3 
180,11,36,7,3 
200,9,37,8,2 
200,10,38,8,3 
200,11,39,8,3 
200,12,40,8,3 
220,10,41,9,3 
220,11,42,9,3 
220,12,43,9,3 
240,10,44,10,3 
240,11,45,10,3 
240,12,46,10,3 
260,10,47,11,3 
260,11,48,11,3 
260,12,49,11,3 
280,11,51,12,3 
280,12,52,12,3 
280,13,53,12,3 
300,11,54,13,3 
300,12,55,13,3 
300,13,56,13,3 
320,12,58,14,3 
320,13,59,14,3 
320,14,60,14,4 
340,12,61,15,3 
340,13,62,15,3 
340,14,63,15,4 
370,13,66.5,16.5,3 
370,14,67.5,16.5,4 
370,15,68.5,16.5,4 
400,14,72,18,4 
400,15,73,18,4 
400,16,74,18,4 
430,14,76.5,19.5,4 
430,15,77.5,19.5,4 
430,17,79.5,19.5,4 
430,19,81.5,19.5,4 
430,20,82.5,19.5,4 
