web_depth,web_thick,flange_width,flange_thick
300,12,125,15
325,12,125,15
350,12,125,15
375,12,125,15
375,12,150,15
400,12,125,15
400,12,150,15
400,12,150,20
425,12,125,15
425,12,150,15
425,12,150,20
450,12,150,15
475,12,150,15
475,12,150,20
500,12,150,15
500,12,150,20
525,12,150,15
525,12,150,20
550,12,150,15
550,12,150,20
550,12,175,20
575,12,150,15
575,12,150,20
575,12,175,20
600,12,150,15
600,12,150,20
600,12,175,20
625,12,150,20
625,12,175,20
625,12,175,25
650,12,150,20
650,12,175,20
650,12,175,25
675,12,150,20
675,12,175,20
675,12,175,25
700,12,175,20
700,12.5,175,20
700,12.5,175,25
725,12,175,20
725,12,175,25
725,13,175,25
750,12,175,20
750,12,175,25
750,13,175,25
775,12,175,20
775,12,175,25
775,13.5,175,25
